average,campus,course,course_title,detail,educators,faculty_title,grades/50-54%,grades/55-59%,grades/60-63%,grades/64-67%,grades/68-71%,grades/72-75%,grades/76-79%,grades/80-84%,grades/85-89%,grades/90-100%,grades/<50%,high,low,median,percentile_25,percentile_75,reported,section,session,subject,subject_title,year
92.7,UBCV,550,Topics in Animal Welfare,,Alexandra Protopopova,Faculty of Land and Food Systems,0,0,0,0,0,0,0,0,0,11,0,95,90,95,90,95,11,001,W,AANB,Applied Animal Biology,2021
78,UBCV,250,Asian Canadians in Popular Culture,,John Paul Catungal,Faculty of Arts,,,,,,,,17,12,,,93,46,80,73.3,85,50,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
77.6,UBCV,300,Dis/Orienting Asian Canada,,Laura Ishiguro,Faculty of Arts,,,,,,,10,8,16,,,91,5,82,77,87,48,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
81.6,UBCV,320,Selected Topics in ACAM Studies,B,Benjamin Cheung,Faculty of Arts,,,,,,,,14,18,7,,92,52,84,79.5,87,52,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
80.9,UBCV,320,Selected Topics in ACAM Studies,D,Danielle Wong,Faculty of Arts,,,,,,,,,,,,86,75,82,79,83,12,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
84.9,UBCV,350,Asian Canadian Community-Based Media,,Alejandro Yoshizawa,Faculty of Arts,,,,,,,,6,9,,,90,77,85.5,82,87.8,18,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
81.1,UBCV,327,Teaching Adults,,Hongxia Shan,Faculty of Education,,,,,,,,10,9,,,95,50,83,78,86,29,63A,W,ADHE,Adult and Higher Education,2021
83.7,UBCV,327,Teaching Adults,,Dave Smulders,Faculty of Education,,,,,,,,7,7,8,,94,55,86.5,80,90,28,63B,W,ADHE,Adult and Higher Education,2021
88.3,UBCV,327,Teaching Adults,,Vicheth Sen,Faculty of Education,,,,,,,,,9,12,,96,68,89,86,92,25,63C,W,ADHE,Adult and Higher Education,2021
78.7,UBCV,327,Teaching Adults,,Dave Smulders,Faculty of Education,,,,,,,,8,7,,,94,0,83,77,88,28,63D,W,ADHE,Adult and Higher Education,2021
78.7,UBCV,327,Teaching Adults,,Vicheth Sen,Faculty of Education,,,,,,,,,8,,,91,56,79,74,85.5,27,63E,W,ADHE,Adult and Higher Education,2021
81.6,UBCV,327,Teaching Adults,,Sharon Jarvis,Faculty of Education,,,,,,,,9,7,6,,97,0,84,81,89,27,63F,W,ADHE,Adult and Higher Education,2021
86.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,,12,,98,0,93,87,94,19,63A,W,ADHE,Adult and Higher Education,2021
81.4,UBCV,328,Institutions of Adult Education,,Vicheth Sen,Faculty of Education,,,,,,,,6,6,,,86,71,84,78.8,85,16,63B,W,ADHE,Adult and Higher Education,2021
87.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,10,14,,95,62,89.5,87,90,28,63C,W,ADHE,Adult and Higher Education,2021
84.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,8,12,,93,40,89,83.5,90.3,28,63D,W,ADHE,Adult and Higher Education,2021
78,UBCV,328,Institutions of Adult Education,,Vicheth Sen,Faculty of Education,,,,,,,,15,,,,87,60,81.5,76,83,24,63E,W,ADHE,Adult and Higher Education,2021
85.6,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,6,,12,,95,60,88,81,91,27,63F,W,ADHE,Adult and Higher Education,2021
84.6,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Omer Aijazi,Faculty of Education,,,,,,,,,12,7,,95,63,86,84,89.3,28,63A,W,ADHE,Adult and Higher Education,2021
79.7,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Vicheth Sen,Faculty of Education,,,,,,,,9,8,,,88,67,80.5,77.3,85,28,63B,W,ADHE,Adult and Higher Education,2021
90.2,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Sharon Jarvis,Faculty of Education,,,,,,,,,,27,,98,0,94,92,96,29,63C,W,ADHE,Adult and Higher Education,2021
83.8,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Omer Aijazi,Faculty of Education,,,,,,,,,7,10,,92,65,86,82,91,29,63D,W,ADHE,Adult and Higher Education,2021
79.6,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Vicheth Sen,Faculty of Education,,,,,,,7,11,,,,87,66,80,78,82.8,26,63E,W,ADHE,Adult and Higher Education,2021
83.2,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Sharon Jarvis,Faculty of Education,,,,,,,,,7,10,,96,0,88,80.5,90.8,26,63F,W,ADHE,Adult and Higher Education,2021
84.8,UBCV,330,The Community Practice of Adult Education,,Alison Taylor,Faculty of Education,,,,,,,,11,15,,,89,76,85,84,86,27,022,W,ADHE,Adult and Higher Education,2021
80.9,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,,,7,,96,56,83,74.3,89.3,26,63A,W,ADHE,Adult and Higher Education,2021
79.9,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,7,,,,98,52,82.5,76,86,26,63B,W,ADHE,Adult and Higher Education,2021
83.1,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,6,,7,,94,61,84,80,90,21,63C,W,ADHE,Adult and Higher Education,2021
83.9,UBCV,330,The Community Practice of Adult Education,,Bathseba Opini,Faculty of Education,,,,,,,,6,14,,,92,65,86,82,87,25,63D,W,ADHE,Adult and Higher Education,2021
81.3,UBCV,330,The Community Practice of Adult Education,,Stephanie Glick,Faculty of Education,,,,,,,,9,10,,,92,0,85,81.5,86.8,26,63E,W,ADHE,Adult and Higher Education,2021
75.2,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,,7,6,,,,87,50,76.5,73,80.5,28,63A,W,ADHE,Adult and Higher Education,2021
71.6,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,6,8,,,,,90,0,77,72.5,79,27,63B,W,ADHE,Adult and Higher Education,2021
73.2,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,,,,,,90,42,74,71.3,79.5,26,63C,W,ADHE,Adult and Higher Education,2021
73.8,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,,6,,,,88,50,75,72,82.3,26,63D,W,ADHE,Adult and Higher Education,2021
74.3,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,6,,,,,90,41,75,72,78.5,24,63E,W,ADHE,Adult and Higher Education,2021
73,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,,6,,,,,86,50,74,69.5,77,23,63F,W,ADHE,Adult and Higher Education,2021
78.6,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,12,9,,94,21,85,71,89,41,001,W,AFST,African Studies,2021
78.8,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,6,6,9,7,,95,0,83,76,88.3,36,002,W,AFST,African Studies,2021
77.8,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,7,,,92,24,81,78,86,25,003,W,AFST,African Studies,2021
80,UBCV,308,The Languages of Africa,,Joash Gambarage,Faculty of Arts,,,,,,,,,,,,91,66,81,75.3,86,12,002,W,AFST,African Studies,2021
72.5,UBCV,351,Perspectives in African Studies: Literary and Theoretical Approaches,A,Deena Dinat,Faculty of Arts,,,,,,,6,12,,,,88,7,78,72.8,83,36,001,W,AFST,African Studies,2021
80.7,UBCV,352,Perspectives in African Studies: A Social Science Approach,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,10,,,89,60,86,71.5,89,18,002,W,AFST,African Studies,2021
63.9,UBCV,370,Literatures and Cultures of Africa and/or the Middle East,A,Suzanne James,Faculty of Arts,,,,,,,,,,,,83,0,74,70,79,11,001,W,AFST,African Studies,2021
86.5,UBCV,450,African Diasporic Culture in African Canadian Communities,R,Calisto Mudzingwa,Faculty of Arts,,,,,,,,,8,6,,93,67,88,86,90,17,001,W,AFST,African Studies,2021
84.2,UBCV,392,Gross Anatomy of the Limbs and Trunk,,Alina Constantin;David Anekwe;Kerrie Roberts;Sean Maurice;Majid Alimohammadi;Fraser Perry;Julia Wimmers Klick;Masoumeh Ghodousi;Sean Campbell;Harminder Toor;Rae Marchal,Faculty of Medicine,,,,,,6,11,19,29,28,,97,64,86,80,90,100,001,W,ANAT,Anatomy,2021
95.3,UBCV,511,Fundamentals of Body Design: Basic Principles in Human Anatomy as Illustrated by the Organization of the Back and Upper Limb,,Claudia Krebs,Faculty of Medicine,,,,,,,,,,7,,99,85,97.5,94.3,98,8,001,W,ANAT,Anatomy,2021
75.3,UBCV,100,Introduction to Cultural Anthropology,A,Amirpouyan Shiva,Faculty of Arts,,,,,7,39,31,15,,,,90,53,75,73,78,100,002,W,ANTH,Anthropology,2021
81.4,UBCV,100,Introduction to Cultural Anthropology,A,Sara Shneiderman,Faculty of Arts,,,,6,6,6,10,25,38,41,,97,0,85,78,90,143,003,W,ANTH,Anthropology,2021
74.7,UBCV,100,Introduction to Cultural Anthropology,A,Amirpouyan Shiva,Faculty of Arts,,,,,17,30,32,32,6,,,87,0,76,72,80,127,004,W,ANTH,Anthropology,2021
73.8,UBCV,100,Introduction to Cultural Anthropology,A,Wade Davis,Faculty of Arts,6,9,14,21,28,31,56,70,42,20,21,96,0,77,69,83,318,100,W,ANTH,Anthropology,2021
66,UBCV,201,Ethnic Relations,,David Ryniker,Faculty of Arts,,,,,9,,,8,,,,91,0,68,59,80,37,001,W,ANTH,Anthropology,2021
79.6,UBCV,202,Contemporary Social Problems,A,Sabina Magliocco,Faculty of Arts,,,,,,10,21,30,34,27,8,98,0,83,76.5,88,143,001,W,ANTH,Anthropology,2021
71.3,UBCV,202,Contemporary Social Problems,B,Zhichun Jing,Faculty of Arts,,,,,,7,8,14,13,,9,94,0,80,73,85,59,001,W,ANTH,Anthropology,2021
70.8,UBCV,203,Anthropology of Drugs,,Shaylih Muehlmann,Faculty of Arts,8,8,12,16,32,36,18,25,,,,90,32,72,66,76,160,001,W,ANTH,Anthropology,2021
76.5,UBCV,203,Anthropology of Drugs,,Danya Fast,Faculty of Arts,7,8,,,,,13,25,30,23,6,95,5,82,71,88,129,200,W,ANTH,Anthropology,2021
72,UBCV,205,The Anthropology of Insurrections and Revolution,,Gaston Gordillo,Faculty of Arts,,,7,9,12,12,15,15,6,6,,94,0,75,65.8,80,92,001,W,ANTH,Anthropology,2021
81,UBCV,206,"Witches, Vampires, and Zombies: Anthropology of the Supernatural",,Sabina Magliocco,Faculty of Arts,,,,,7,10,21,25,37,32,,98,0,84,77,89,145,002,W,ANTH,Anthropology,2021
73.5,UBCV,210,Eating Culture,,Caitlin Gordon-Walker,Faculty of Arts,,7,,10,15,28,26,28,10,,,88,1,75,69,80,132,001,W,ANTH,Anthropology,2021
73.1,UBCV,213,"Sex, Gender, and Culture",,Rafael Wainer,Faculty of Arts,6,7,,,13,17,10,19,10,6,,96,19,75,68,83,97,002,W,ANTH,Anthropology,2021
70.5,UBCV,215,Japanese Popular Culture,,Millie Creighton,Faculty of Arts,,,10,7,6,13,10,19,,,,90,0,74,65,80,75,002,W,ANTH,Anthropology,2021
75,UBCV,217,Culture and Communication,,Patrick Moore,Faculty of Arts,,,,,,14,12,14,8,6,,94,1,76,72,83,69,002,W,ANTH,Anthropology,2021
81.2,UBCV,220,First Nations of British Columbia,,Charles Menzies,Faculty of Arts,,,,,,13,10,44,48,22,,100,5,84,79,87.8,154,002,W,ANTH,Anthropology,2021
76.1,UBCV,227,Introduction to Medical Anthropology,,Vinay Ramnath Kamat,Faculty of Arts,,,,11,6,23,27,19,16,6,,93,9,78,72,82.3,116,001,W,ANTH,Anthropology,2021
78.8,UBCV,300,Contemporary Anthropological Theory,A,Shaylih Muehlmann,Faculty of Arts,,,,,,,9,16,9,,,89,56,80,76.8,82.3,44,001,W,ANTH,Anthropology,2021
74.1,UBCV,300,Contemporary Anthropological Theory,B,Amirpouyan Shiva,Faculty of Arts,,,,,,,14,8,,,,95,0,78,73,80.8,38,002,W,ANTH,Anthropology,2021
77,UBCV,303,Ethnography of Special Areas,C,Andrew Martindale,Faculty of Arts,,,,,,,,8,13,,,95,7,82.5,73.5,87,42,200,W,ANTH,Anthropology,2021
83.6,UBCV,303,Ethnography of Special Areas,D,Kate Kingsbury,Faculty of Arts,,,,,,,,,8,13,,97,39,88,78,92,33,001,W,ANTH,Anthropology,2021
76.1,UBCV,308,Ethnography of Sub-Saharan Africa,,Vinay Ramnath Kamat,Faculty of Arts,,,,,,7,10,9,8,,,90,28,78,72,83,49,001,W,ANTH,Anthropology,2021
73.5,UBCV,315,Japanese Culture and Society,,Simon Nantais,Faculty of Arts,,,,,9,7,13,6,6,,,89,0,76,70,79.3,48,002,W,ANTH,Anthropology,2021
74,UBCV,317,Linguistic Anthropology,A,Patrick Moore,Faculty of Arts,,,,,,8,,10,15,,,95,0,80,72,85.5,51,002,W,ANTH,Anthropology,2021
66.3,UBCV,332,Oral Tradition,,Bruce Miller,Faculty of Arts,,,,,,,,,,,,96,0,70.5,54.8,80.8,26,001,W,ANTH,Anthropology,2021
73.8,UBCV,341,"Museums, Heritage and Memory",A,Caitlin Gordon-Walker,Faculty of Arts,,,,,,10,11,,7,,,90,35,76,72,80,44,001,W,ANTH,Anthropology,2021
71.2,UBCV,351,Ethnography of the Pacific Islands: Melanesia,A,David Ryniker,Faculty of Arts,,,,,,,,,,,,91,42,70,65,80.8,18,001,W,ANTH,Anthropology,2021
79.8,UBCV,360,Introduction to Ecological Anthropology,,Tracey Heatherington,Faculty of Arts,,,,,,10,17,23,11,,,93,69,80,76.5,83,67,100,W,ANTH,Anthropology,2021
74.1,UBCV,378,Anthropology of Media,,Amirpouyan Shiva,Faculty of Arts,,,,8,20,20,20,22,,,,90,55,74,70,80,105,002,W,ANTH,Anthropology,2021
72.6,UBCV,400,History of Anthropology,A,Vinay Ramnath Kamat,Faculty of Arts,,,,,,,,,8,,,93,4,80,72,85,25,001,W,ANTH,Anthropology,2021
76,UBCV,400,History of Anthropology,B,Amirpouyan Shiva,Faculty of Arts,,,,,,,9,21,,,,90,31,80,75,81,45,002,W,ANTH,Anthropology,2021
78.4,UBCV,407,Principles of Field Work,,Amirpouyan Shiva,Faculty of Arts,,,,,6,,12,6,,,,93,58,78,75,82,37,100,W,ANTH,Anthropology,2021
81.1,UBCV,418,Anthropological Statistics,,Zhichun Jing,Faculty of Arts,,,,,,,,,9,7,,94,29,88,85,90,21,002,W,ANTH,Anthropology,2021
80.2,UBCV,431,Museum Practice and Curatorship,C,Susan Rowley;Jennifer Kramer,Faculty of Arts,,,,,,,,,8,,,87,62,83,76.5,85,19,100,W,ANTH,Anthropology,2021
86.6,UBCV,461,Anthropological Study of Local Ecological Knowledge,,Charles Menzies,Faculty of Arts,,,,,,,,,,6,,93,71,90,84.5,91,11,002,W,ANTH,Anthropology,2021
81.8,UBCV,500,History of Anthropological Thought,,Gaston Gordillo,Faculty of Arts,,,,,,,,,,7,,92,46,90,87,90,11,001,W,ANTH,Anthropology,2021
92.9,UBCV,516,Qualitative Methods in Anthropology,,Patrick Moore,Faculty of Arts,,,,,,,,,,15,,96,88,93,92,94.3,16,002,W,ANTH,Anthropology,2021
82.8,UBCV,540,Advanced Seminar,A,Wade Davis,Faculty of Arts,,,,,,,,,6,,,95,25,88,84,88,13,001,W,ANTH,Anthropology,2021
89,UBCV,540,Advanced Seminar,B,Alexia Bloch,Faculty of Arts,,,,,,,,,,,,94,87,88,87,90,7,001,W,ANTH,Anthropology,2021
69.9,UBCV,200,Introduction to Soil Science,,Maja Krzic,Faculty of Land and Food Systems,,7,,,27,9,8,21,10,10,15,96,0,71,63,81,121,001,W,APBI,Applied Biology,2021
71.9,UBCV,200,Introduction to Soil Science,,Sandra Brown,Faculty of Land and Food Systems,,,8,8,13,18,22,23,14,9,9,97,0,76,67.8,81,132,002,W,APBI,Applied Biology,2021
73.3,UBCV,210,Vascular Plants,,Shona Margaret Ellis,Faculty of Land and Food Systems,,,,,,,,,,,,90,53,75.5,66.8,79.5,22,001,W,APBI,Applied Biology,2021
75.4,UBCV,244,Atmospheric Environments,,Ian Mckendry,Faculty of Land and Food Systems,,,,,,7,6,15,7,,,94,29,79,71.5,83,52,001,W,APBI,Applied Biology,2021
86.6,UBCV,260,Agroecology I: Introduction to principles and techniques,,Sean Smukler,Faculty of Land and Food Systems,,,,,,,,6,9,21,,99,58,88.5,82,92,44,001,W,APBI,Applied Biology,2021
79.6,UBCV,265,Sustainable Agriculture and Food Systems,,Delisa Lewis,Faculty of Land and Food Systems,,,,,,,,14,7,,,94,31,81,79,85,35,001,W,APBI,Applied Biology,2021
88.8,UBCV,290,Introductory Topics in Applied Biology,,Alexandra Protopopova,Faculty of Land and Food Systems,,,,,,,,,,19,,100,56,91,86.8,94,28,002,W,APBI,Applied Biology,2021
77.2,UBCV,311,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology",,Colin Brauner,Faculty of Land and Food Systems,,,,,,,,,,,,87,58,80,73,84,17,001,W,APBI,Applied Biology,2021
87.5,UBCV,312,Reproductive and Digestive Physiology,,Ronaldo Cerri,Faculty of Land and Food Systems,,,,,,,,6,24,14,,95,73,88,86,90,46,001,W,APBI,Applied Biology,2021
82,UBCV,314,Animals and Society,,Marina Von Keyserlingk,Faculty of Land and Food Systems,,,,6,,7,7,26,26,19,,95,37,84,77,88,96,001,W,APBI,Applied Biology,2021
79.7,UBCV,314,Animals and Society,,Amelia Macrae,Faculty of Land and Food Systems,,,,,,,7,10,10,14,,95,0,84,77.3,90,50,003,W,APBI,Applied Biology,2021
81.7,UBCV,315,Animal Welfare and the Ethics of Animal Use,,Daniel Weary,Faculty of Land and Food Systems,,,,,,6,,14,14,14,,96,24,84,77,88.5,59,001,W,APBI,Applied Biology,2021
82.8,UBCV,316,"Equine Biology, Health and Welfare",,Amelia Macrae,Faculty of Land and Food Systems,,,,,,,,7,17,10,,93,10,87.5,83.8,89.3,40,001,W,APBI,Applied Biology,2021
86.2,UBCV,317,Welfare and Ethics of using Animals in Science,,Anna Ratuski,Faculty of Land and Food Systems,,,,,,,,,,29,,100,10,91,82,94,49,002,W,APBI,Applied Biology,2021
87.3,UBCV,318,Applied Plant Breeding,,Andrew Riseman,Faculty of Land and Food Systems,,,,,,,,,,7,,100,60,89,84.5,94.5,15,001,W,APBI,Applied Biology,2021
82.6,UBCV,319,Aquaculture and the Environment,,Paige Adrienne Ackerman,Faculty of Land and Food Systems,,,,,,,,,,11,,99,17,88.5,81.3,93,24,99C,W,APBI,Applied Biology,2021
83,UBCV,322,Horticultural Techniques,,Allison Mccabe,Faculty of Land and Food Systems,,,,,,,,,10,7,,97,55,86,79.5,89.3,28,001,W,APBI,Applied Biology,2021
77,UBCV,324,Introduction to Seed Plant Taxonomy,,Quentin Charles Cronk,Faculty of Land and Food Systems,,,,,,,,,,,,85,67,78,73,81,9,001,W,APBI,Applied Biology,2021
84.3,UBCV,326,Introductory Plant Pathology,,Gurcharn Brar,Faculty of Land and Food Systems,,,,,,,,,,,,93,64,86,81.5,90,15,001,W,APBI,Applied Biology,2021
76.2,UBCV,327,Introduction to Entomology,,Yasmin Akhtar,Faculty of Land and Food Systems,,,,,,6,,,,,,94,64,75,71,81,23,001,W,APBI,Applied Biology,2021
76.9,UBCV,328,Weed Science,,Jennifer Grenz,Faculty of Land and Food Systems,,,,,,,,,6,,,93,19,79,72.5,88,31,001,W,APBI,Applied Biology,2021
93.4,UBCV,342,Soil Biology,,Christopher Chanway,Faculty of Land and Food Systems,,,,,,,,,,9,,99,82,96,89.5,97.5,12,001,W,APBI,Applied Biology,2021
74.9,UBCV,351,Plant Physiology,,Santokh Singh;Shawn Mansfield,Faculty of Land and Food Systems,,,,,,,,,,,,91,52,76,68,85.3,12,101,W,APBI,Applied Biology,2021
80.1,UBCV,360,Agroecology II: Application and analysis,,Risa Sargent,Faculty of Land and Food Systems,,,,,,,,8,,,,86,61,82,78,84,15,001,W,APBI,Applied Biology,2021
71.9,UBCV,361,Key Indicators of Agroecosystem Sustainability,,Delisa Lewis,Faculty of Land and Food Systems,,,,,,6,,,10,,,94,0,77,70,85.5,39,199,W,APBI,Applied Biology,2021
85.3,UBCV,398,Research Methods in Applied Biology,,Marina Von Keyserlingk;Daniel Weary,Faculty of Land and Food Systems,,,,,,,,,11,7,,95,65,88,83.3,89.8,26,001,W,APBI,Applied Biology,2021
85.6,UBCV,401,Soil Processes,,Sandra Brown,Faculty of Land and Food Systems,,,,,,,,8,6,6,,93,77,85,83,90,21,001,W,APBI,Applied Biology,2021
81.9,UBCV,402,Sustainable Soil Management,,Sandra Brown;Maja Krzic,Faculty of Land and Food Systems,,,,,,,,8,,9,,97,37,82.5,78.5,90.8,30,001,W,APBI,Applied Biology,2021
91.4,UBCV,410,Applied Animal Health and Physiology,,Ronaldo Cerri,Faculty of Land and Food Systems,,,,,,,,,,11,,94,86,92,90,93,13,002,W,APBI,Applied Biology,2021
77.8,UBCV,412,Belowground Ecosystems,,Susan Grayston,Faculty of Land and Food Systems,,,,,,,,,,,,89,39,82,79.3,85.8,8,001,W,APBI,Applied Biology,2021
78.9,UBCV,413,Stress and Coping in Animals,,Kristen Walker,Faculty of Land and Food Systems,,,,,,,,19,10,,,94,57,81,74,84.5,47,001,W,APBI,Applied Biology,2021
85,UBCV,414,Animals and Global Issues,,Amelia Macrae,Faculty of Land and Food Systems,,,,,,,,7,8,,,94,70,86.5,83,88,22,001,W,APBI,Applied Biology,2021
86.5,UBCV,415,Applied Animal Behaviour,,Borbala Foris,Faculty of Land and Food Systems,,,,,,,,,,,,94,80,85,83,90.5,15,001,W,APBI,Applied Biology,2021
82.3,UBCV,416,Compassionate Conservation,,Kristen Walker,Faculty of Land and Food Systems,,,,,,7,,7,7,8,,96,44,84,74.3,89,34,001,W,APBI,Applied Biology,2021
71.7,UBCV,418,Intensive Fish Production,,Paige Adrienne Ackerman,Faculty of Land and Food Systems,,,,,,,,,,6,,94,13,75,63.5,84.5,27,99A,W,APBI,Applied Biology,2021
76.9,UBCV,419,Fish Health,,Paige Adrienne Ackerman,Faculty of Land and Food Systems,,,,,,,,,,,,92,61,78,73.3,83.3,22,99C,W,APBI,Applied Biology,2021
86.3,UBCV,423,Ecological Restoration,,Cindy Prescott,Faculty of Land and Food Systems,,,,,,,,,9,9,,98,66,87.5,84.8,92,24,001,W,APBI,Applied Biology,2021
76.8,UBCV,428,Integrated Pest Management,,Yasmin Akhtar,Faculty of Land and Food Systems,,,,,,,,8,6,,,90,11,82,78.5,86,22,99C,W,APBI,Applied Biology,2021
81.8,UBCV,442,Wine Grape and Berry Biology,,Simone Castellarin,Faculty of Land and Food Systems,,,,,,,,6,,,,93,68,82.5,78.5,85.5,16,001,W,APBI,Applied Biology,2021
87.4,UBCV,444,Agroforestry,,Cindy Prescott,Faculty of Land and Food Systems,,,,,,,,,11,14,,98,52,88.5,85.8,92.3,32,001,W,APBI,Applied Biology,2021
90.3,UBCV,460,Agroecology III: Synthesis and evaluation,,Andrew Riseman,Faculty of Land and Food Systems,,,,,,,,,,10,,99,37,96,87.5,97.5,15,001,W,APBI,Applied Biology,2021
91.7,UBCV,490,Advanced Topics in Applied Biology,,Alexandra Protopopova,Faculty of Land and Food Systems,,,,,,,,,,23,,98,73,92.5,91,94.8,30,002,W,APBI,Applied Biology,2021
90.5,UBCV,490,Advanced Topics in Applied Biology,,Juli Carrillo,Faculty of Land and Food Systems,,,,,,,,,,6,,96,84,90,87.5,94.5,11,003,W,APBI,Applied Biology,2021
86.6,UBCV,490,Advanced Topics in Applied Biology,,Thorsten Knipfer,Faculty of Land and Food Systems,,,,,,,,,,6,,98,64,88.5,81.5,96.3,14,201,W,APBI,Applied Biology,2021
92.4,UBCV,490,Advanced Topics in Applied Biology,,Alex Boo,Faculty of Land and Food Systems,,,,,,,,,,22,,99,76,95,90.8,96,28,202,W,APBI,Applied Biology,2021
81.1,UBCV,495,Human Wildlife Conflict,,Kristen Walker,Faculty of Land and Food Systems,,,,,,,,,8,,,95,40,87,80,89,17,001,W,APBI,Applied Biology,2021
89.7,UBCV,496,Applied Animal Biology Practicum,B,Sara Dubois,Faculty of Land and Food Systems,,,,,,,,,,,,93,86,89.5,87.3,92.5,6,002,W,APBI,Applied Biology,2021
85.3,UBCV,501,Project Management and Leadership,,Stephanie Arbuckle,Faculty of Applied Science,,,,,,,,21,26,6,,93,78,85,83,87,54,101,W,APPP,Applied Science Professional Program Platform,2021
81.2,UBCV,502,Sustainability and Leadership,,Justin Bull,Faculty of Applied Science,,,,,,,,42,8,,,86,72,81,80,82,57,101,W,APPP,Applied Science Professional Program Platform,2021
81,UBCV,502,Sustainability and Leadership,,Justin Bull,Faculty of Applied Science,,,,,,,,44,7,,,86,75,81,80,82,57,102,W,APPP,Applied Science Professional Program Platform,2021
80.6,UBCV,503,Organizational Leadership,,Amy Stanley,Faculty of Applied Science,,,,,,,16,27,,,,85,76,81,79,83,45,101,W,APPP,Applied Science Professional Program Platform,2021
82.3,UBCV,503,Organizational Leadership,,Amy Stanley,Faculty of Applied Science,0,0,0,0,0,0,6,40,9,0,0,87,77,83,81,84,55,102,W,APPP,Applied Science Professional Program Platform,2021
81.5,UBCV,503,Organizational Leadership,,Jonathan Blair Evans,Faculty of Applied Science,,,,,,,14,27,12,,,88,73,82,79,84,54,103,W,APPP,Applied Science Professional Program Platform,2021
84.3,UBCV,506,Capstone Project,C,Sathish Gopalakrishnan,Faculty of Applied Science,,,,,,,,,,,,90,73,85,83,88,9,101,W,APPP,Applied Science Professional Program Platform,2021
91.8,UBCV,506,Capstone Project,C,Vladan Prodanovic;Seyyed Alireza Bagherzadeh Hosseini,Faculty of Applied Science,,,,,,,,,,16,,96,80,93,90.5,94,19,103,W,APPP,Applied Science Professional Program Platform,2021
90.3,UBCV,506,Capstone Project,D,Cheryl Nelms,Faculty of Applied Science,,,,,,,,,,,,98,85,89,88.3,92,6,101,W,APPP,Applied Science Professional Program Platform,2021
77.4,UBCV,100,Introduction to Engineering I,,Peter Ostafichuk;Brian Dick;Carol Patricia Jaeger;Seyyed Alireza Bagherzadeh Hosseini;Chris Mclean;Jonathan Nakane,Faculty of Applied Science,6,,,13,13,33,36,71,40,21,7,98,12,80,74,84,247,101,W,APSC,Applied Science,2021
78.4,UBCV,100,Introduction to Engineering I,,Peter Ostafichuk;Brian Dick;Carol Patricia Jaeger;Seyyed Alireza Bagherzadeh Hosseini;Chris Mclean;Jonathan Nakane,Faculty of Applied Science,,,,10,17,26,50,76,50,16,7,94,28,80,75,85,257,102,W,APSC,Applied Science,2021
77.9,UBCV,100,Introduction to Engineering I,,Peter Ostafichuk;Brian Dick;Carol Patricia Jaeger;Seyyed Alireza Bagherzadeh Hosseini;Chris Mclean;Jonathan Nakane,Faculty of Applied Science,,6,,9,17,31,42,76,37,20,,97,37,80,74,83,249,103,W,APSC,Applied Science,2021
78.1,UBCV,100,Introduction to Engineering I,,Peter Ostafichuk;Brian Dick;Carol Patricia Jaeger;Seyyed Alireza Bagherzadeh Hosseini;Chris Mclean;Jonathan Nakane,Faculty of Applied Science,,,,16,19,37,44,73,49,15,,94,0,80,74,83.3,264,104,W,APSC,Applied Science,2021
